URL,Article,Category,Primary Keyword,Secondary Keywords,Cluster,Status,Total Target SV,GSC Impressions,GSC Clicks,GSC CTR,Avg Position,Opportunity Score,Priority,Notes
https://www.footballparent.co.uk/academy-pathway/how-to-join-a-football-academy,How to Join a Football Academy: A Realistic Guide for Parents,academy-pathway,How to Join a Football Academy,,,,,,,,,,,"2026-08-08 voice review: candidates checked, mix of FAQ-heading-merge artifacts and editorial cross-references ('I cover this in [link]') - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/academy-pathway/leeds-united-development-centre-guide,Leeds United Development Centre: A Parent's Guide,Academy Pathway,Leeds United youth academy,Leeds United academy trials; Leeds United development centre,Leeds United Development Centre,published,1040,,,,,,Highest,"Post-publish fix 2026-08-11: cut 'Is It Worth It? An Honest Parent's View' section entirely. It self-labeled as 'honest' (banned meta-description slop word, same problem in a heading) and, more importantly, was a structural template of Fulham's equivalent section with the specifics swapped for generic filler since no real Leeds experience exists - exactly the scaled-content risk the review skill's Section 6 should flag. Once the pending expert-quote request (or genuine parent experience) comes in, this is the section to reintroduce with real material, not before. Also added to /academy-pathway category page (was missing from initial publish, sitemap.ts already had it)."
https://www.footballparent.co.uk/academy-pathway/manchester-city-development-centre-guide,Manchester City Development Centre: A Parent's Guide,Academy Pathway,Manchester City youth academy,Manchester City academy trials; Manchester City development centre,Manchester City Development Centre,planned,140,,,,,,Medium,"Club dev-centre opportunity scan 2026-08-11: real UK search volume + SERP/PAA intent check + KD, see chat log. Premier League."
https://www.footballparent.co.uk/academy-pathway/manchester-united-development-centre-guide,Manchester United Development Centre: A Parent's Guide,Academy Pathway,Manchester United academy trials,Manchester United youth academy; Manchester United development centre,Manchester United Development Centre,planned,180,,,,,,High,"Club dev-centre opportunity scan 2026-08-11: real UK search volume + SERP/PAA intent check + KD, see chat log. Premier League."
https://www.footballparent.co.uk/academy-pathway/millwall-development-centre-guide,Millwall Development Centre: A Parent's Guide,Academy Pathway,Millwall academy trials,Millwall youth academy; Millwall development centre,Millwall Development Centre,planned,160,,,,,,High,"Club dev-centre opportunity scan 2026-08-11: real UK search volume + SERP/PAA intent check + KD, see chat log. Championship."
https://www.footballparent.co.uk/academy-pathway/pdc-vs-ptc-vs-rtc-explained,PDC vs PTC vs RTC vs ETC: Football Pathway Terms Explained,academy-pathway,PDC vs PTC vs RTC vs ETC,,,,,,,,,,,
https://www.footballparent.co.uk/academy-pathway/pre-academy-football,What Is Pre-Academy Football?,academy-pathway,What Is Pre-Academy Football,,,,,,,,,,,"Phase 5C: added citation for Training Ground Guru statistic (previously unlinked). Voice deferred, no personal fit. Flagged separately: the Luton Town 30-40%% claim in what-age-do-football-academies-recruit could not be verified - see Graham."
https://www.footballparent.co.uk/academy-pathway/premier-league-development-centres,,,,,,,,,,,,,,
https://www.footballparent.co.uk/academy-pathway/premier-league-development-centres-list,Premier League Development Centres,academy-pathway,Premier League Development Centres,,,,,,,,,,Medium,"2026-08-08 voice review: candidates checked, all are the sentence-splitter merging an FAQ H3 question heading into the preceding sentence (a bug in the unmarked-voice scanner, not real content) - no genuine voice found, nothing to promote. | 2026-08-11: needs a full club-roster refresh for the 2026-27 season. Currently lists West Ham (relegated to Championship) and is missing Coventry City, Ipswich Town, Hull City, Bournemouth, Nottingham Forest and Sunderland from the per-club breakdown. Leeds United was added this session (Category 1 since 2020, Thorp Arch) but the rest of the roster is stale relative to the current season. Not done yet, flagged for a future pass."
https://www.footballparent.co.uk/academy-pathway/southampton-development-centre-guide,Southampton Development Centre: A Parent's Guide,Academy Pathway,Southampton academy trials,Southampton youth academy; Southampton development centre,Southampton Development Centre,planned,150,,,,,,Medium,"Club dev-centre opportunity scan 2026-08-11: real UK search volume + SERP/PAA intent check + KD, see chat log. Championship."
https://www.footballparent.co.uk/academy-pathway/tottenham-development-centres-explained,Tottenham Hotspur Development Centres Explained,academy-pathway,tottenham development centre,spurs academy trials; how to join tottenham academy; tottenham academy development centres; spurs development centre; tottenham player development programme,London club development centres,published,90,,,,,,,"2026-09-06: removed the 'Go Pro'/'Tony's Soccer School' named-operator scam claim - the cited tottenhamhotspur.com trials page no longer fetch-confirms this content (3 URL variants tried, all resolve to a generic U18 team hub page). Kept the general email-scam warning and 'does not run open trials' guidance, which are separate, still-plausible claims. Found during a football-parent-review audit of the new Aston Villa article, which cited the same dead/unverifiable URL."
https://www.footballparent.co.uk/academy-pathway/uk-football-development-centres-explained,UK Football Development Centres Explained,academy-pathway,UK Football Development Centres,,,,,,,,,,,"Phase 5A: 2 Parent Notes (trial/tier process at Chelsea vs Palace; coach rapport + inconsistent FA four-corner feedback forms), 3 external citations (EPPP categories, U9 registration rule, DBS checks). voice_pct 4.6% to 10.3% at the time, over the floor (current voice_pct in this tracker reflects later Phase 5B reuse elsewhere, not a change to this article). Also fixed while in the file: 2 orphaned TOC entries, 1 banned AI-slop phrase, 1 duplicate FAQ. fact_checked_at backfilled 2026-08-08 from the commit date."
https://www.footballparent.co.uk/academy-pathway/understanding-academy-release,Understanding Academy Release In Football,academy-pathway,Understanding Academy Release In Football,,,,,,,,,,,"2026-08-08 voice review: candidates checked, all are the sentence-splitter merging an FAQ H3 question heading into the preceding sentence (a bug in the unmarked-voice scanner, not real content) - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/academy-pathway/watford-development-centre-guide,Watford Development Centre: A Parent's Guide,Academy Pathway,Watford academy trials,Watford development centre; Watford youth academy,Watford Development Centre,planned,220,,,,,,High,"Club dev-centre opportunity scan 2026-08-11: real UK search volume + SERP/PAA intent check + KD, see chat log. Championship."
https://www.footballparent.co.uk/academy-pathway/west-ham-player-pathway-guide,West Ham United Development Centre: A Parent's Guide,academy-pathway,West Ham United Development Centre,,,,,,,,,,,Phase 5C: added club-agnostic coaching-quality ParentNote (2nd use of Arsenal's story)
https://www.footballparent.co.uk/academy-pathway/what-age-do-football-academies-recruit,What Age Do Football Academies Recruit?,academy-pathway,What Age Do Football Academies Recruit,,,,,,,,,,,"Phase 5C: removed unverifiable Luton Town 30-40%% statistic per Graham's call. No personal fit for voice, already on expert-quote backlog."
https://www.footballparent.co.uk/academy-pathway/what-is-eppp,What Is EPPP? The Elite Player Performance Plan Explained,academy-pathway,What Is EPPP? The Elite Player Performance Plan,,,,,,,,,,,"Phase 5C: reviewed, already well sourced (4 external citations, Useful Sources section). Voice deferred, definitional/explainer content."
https://www.footballparent.co.uk/academy-pathway/wrexham-development-centre-guide,Wrexham Development Centre: A Parent's Guide,Academy Pathway,Wrexham academy trials,Wrexham youth academy; Wrexham development centre,Wrexham Development Centre,planned,140,,,,,,Medium,"Club dev-centre opportunity scan 2026-08-11: real UK search volume + SERP/PAA intent check + KD, see chat log. Championship."
https://www.footballparent.co.uk/academy-trials,,,,,,,,,,,,,,
https://www.footballparent.co.uk/academy-trials/football-academy-trials-uk,Football Academy Trials UK: How They Really Work,academy-trials,Football Academy Trials UK,,,,,,,,,,,"Phase 5C: added Chelsea open-day trial ParentNote (2nd use). 2026-08-24: keyword research found ~1,300/mo unclaimed, non-cannibalizing volume in the 'open trials football' / 'academy open trials 2026' / 'football academy open trials' cluster (KD 13-23), dominant competitor ukfootballtrials.com ranks #1 on all terms checked, rest of page 1 is club official trial pages + PFSA/Pro11Trials. DECISION: not pursuing - genuinely competing for #1 on this cluster needs a maintained trial-date/listing feature (dates go stale every season), which doesn't fit an evergreen-content approach. Logged as a deprioritized opportunity, not forgotten - revisit only if appetite changes for a maintained listings feature."
https://www.footballparent.co.uk/academy-trials/football-trials-near-me,Football Trials Near Me: A Realistic Parent's Guide to Academy Recruitment in the UK,academy-trials,Football Trials Near Me,,,,,,,,,,,"2026-08-08 voice review: candidates checked, all are the sentence-splitter merging an FAQ H3 question heading into the preceding sentence (a bug in the unmarked-voice scanner, not real content) - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/academy-trials/how-football-clubs-recruit-young-players,How Football Clubs Recruit Young Players,academy-trials,How Football Clubs Recruit Young Players,,,,,,,,,,,"Phase 5B: added ParentNote (Graham's real open-day trial experience) in Open Trials section, plus EPPP and Premier League parent-hub (scout verification) citations. voice_pct 2.7%, left under floor."
https://www.footballparent.co.uk/academy-trials/how-football-scouts-identify-players,How Football Scouts Identify Players,academy-trials,How Football Scouts Identify Players,,,,,,,,,,,"2026-08-08 voice review: candidates checked, all are the sentence-splitter merging an FAQ H3 question heading into the preceding sentence (a bug in the unmarked-voice scanner, not real content) - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/academy-trials/how-to-get-scouted-for-football,How to Get Scouted for Football,academy-trials,How to Get Scouted for Football,,,,,,,,,,,"Phase 5B: no personal material available, and Graham judged reusing the technique-before-tactics Paul Barry quote here too much of a stretch from its original context - declined. Voice deferred. Added Premier League parent-hub (scout verification) citation."
https://www.footballparent.co.uk/academy-trials/what-do-academy-coaches-look-for,What Do Academy Coaches Look For?,academy-trials,What Do Academy Coaches Look For,,,,,,,,,,,
https://www.footballparent.co.uk/academy-trials/what-happens-at-academy-trials,What Happens at Football Academy Trials,academy-trials,What Happens at Football Academy Trials,,,,,,,,,,,"2026-08-08 voice review: candidates checked, all are the sentence-splitter merging an FAQ H3 question heading into the preceding sentence (a bug in the unmarked-voice scanner, not real content) - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/coaching/_rejected-football-lineup-builder,[REJECTED] Football Lineup Builder,coaching,football lineup builder,,Coach App: rejected,rejected,1900,,,,,,,"REJECTED 2026-08-22 despite being the single highest-volume keyword found in this whole research pass (1,900/mo, KD 17, low ad competition). Checked actual SERP titles/descriptions: every ranking result (lineup-builder.co.uk, fotmob.com, buildlineup.com, chosen11.com, footballuser.com, createformation.com) is a fan/fantasy graphic tool - '18,000 real life football players', 'player faces', 'real kits', 'player photos'. This is fans building dream-XI graphics of pro players, not grassroots coaches organising a real team sheet. Wrong audience entirely - do not write for this keyword, and do not let a future high-volume-looking discovery re-surface it without re-checking intent first."
https://www.footballparent.co.uk/coaching/best-football-formations-by-age-group,Best Football Formations by Age Group: 7-a-Side and 9-a-Side Explained,coaching,7 a side football formation,9 a side football formation; best formation for 7-a-side football; 9v9 football formations; under 9 football rules; under 10 football rules,Coach App: team selection,published,360,,,,,,Medium,"Confirmed genuine grassroots-coaching intent (checked organic results/descriptions, not fantasy-team contamination): ranking sites are generationelite.co.uk, teamstats.net, footballdna.co.uk discussing real 7v7/9v9 formations for kids' football, not fan/fantasy tools. Real measured volume 40-110/mo per keyword, KD 0-3 (uncontested). Ties to the Coach App's formation/team-selection picker. From coach-keyword-research-round2.ts's age_group_formats cluster, not previously turned into an article. Researched 2026-08-22 (reused prior live SERP cache)."
https://www.footballparent.co.uk/coaching/best-grassroots-football-apps,,,,,,,,,,,,,,"New article, published 2026-09-11. Fact-checked live: Spond pricing/fee model, TeamStats pricing tiers, Pitchero pricing/scope, FA Matchday positioning, FootballDNA offering (all via WebSearch/WebFetch this session, not memory). 2 ParentNote callouts are Graham's own genuine app-usage opinions given directly in the sourcing conversation for this article (FootballDNA use, Spond availability/payments gap), not a separate Q&A round. No safeguarding section needed (topic is software tools, not academy/trials/safeguarding-triggering). Sourcing density higher than the 2/1000-word target (7 external citations across ~1480 words) because every competitor pricing/feature claim needed its own official-page citation for the honest-comparison premise to hold, not padding."
https://www.footballparent.co.uk/coaching/equal-playing-time-in-grassroots-football,Equal Playing Time in Grassroots Football: Getting Fair Rotation Right,coaching,equal playing time football,fair substitution system football; football team rotation system; youth football substitution rules; rolling substitutions football; playing time calculator app,Coach App: fair rotation,published,20,,,,,,High,"All 5 priority fixes from the 2026-08-28 review applied. Note: fix #1 as originally proposed in the review was itself wrong (assumed 9v9/11v11 youth football caps substitutions like the adult game) - caught this while implementing it by fetching FA's Standard Code of Rules for Youth Competitions + corroborating sources properly, which show roll-on/roll-off subs apply across mini-soccer, 9v9 AND youth 11-a-side. Applied the corrected version instead: broadened the claim + cited the FA rulebook, rather than introducing a new inaccuracy. Also added IFAB Law 3 citation to the sub-refusal FAQ, swapped the what-to-say-after-football-matches body link for support-child-after-bad-match (better fit, keeps body link count at 5), softened the academy playing-time FAQ, clarified the GK-rotation sentence. Now 2,159 words, 6 external citations (2.78/1000, no duplicates), npm run build passes."
https://www.footballparent.co.uk/coaching/football-drills-for-7-and-8-year-olds,Ball Mastery Drills for 7 and 8 Year Olds,coaching,football drills for 7 year olds,football drills for 8 year olds; ball mastery drills for kids; football skills for 7 year olds; football skills for 8 year olds,Parent-coach: drills,published,350,,,,,,,"2026-08-22: 4 internal links added from how-much-training-is-too-much, is-private-football-coaching-worth-it, why-isnt-my-child-improving-at-football and good-football-development-environment, all pointing to this article. Approved and applied. Build passes. Ready to publish. 2026-08-23: title shortened from 85 to 59 char meta title (was truncating in SERPs), dropped subtitle. Meta description left unchanged (127 chars, no truncation risk)."
https://www.footballparent.co.uk/coaching/football-drills-for-kids-by-age,Football Drills for Kids by Age,coaching,football drills for kids,football drills for u8s; easy football drills at home; football dribbling drills for kids; football passing drills for kids,Parent-coach: drills,planned,0,,,,,,,"Full research brief: seo-data/exports/content-plan-fulham-spurs-drills-coaching.md. Real vol on the generic primary is 0 (estimate of 1500-3000 was wrong). The two age-7/8 keywords that DID have real volume were split into their own dedicated article (/football-development/football-drills-for-7-and-8-year-olds) rather than competing here - cross-link both ways. 'passing drills football' (2900/mo) added as a live secondary opportunity. 2026-08-22: planned slug/category updated to /coaching/ to match the sibling 7-8yo article, since both are tagged Parent-coach: drills and the coaching category is being seeded before launch."
https://www.footballparent.co.uk/coaching/football-team-spreadsheet,"Football Team Spreadsheet: Tracking Goals, Assists and Playing Time",coaching,football team spreadsheet,soccer team spreadsheet; team stats; apps for football stats,Coach App: stats tracking,published,950,,,,,,Medium,"Published 2026-09-06. Primary keywords: football team spreadsheet / soccer team spreadsheet (320/mo each, KD 0). Secondary: team stats (170/mo, KD 34), apps for football stats (140/mo, KD 15). Slug changed from the originally-planned tracking-stats-for-a-grassroots-football-team to football-team-spreadsheet to match the real high-intent keyword (unpublished until now, no indexing/redirect impact). Only 3 body internal links (meets 3-5 minimum) and 1 external citation (FA Standard Code of Rules) - practical/DIY topic, no governing-body facts needing heavier sourcing per the style guide's sourcing-density exception. Voice_pct exactly 10.0% (2 genuine ParentNotes from Graham's own spreadsheet, sourced live in-session 2026-09-06). Open follow-up not yet decided: whether to build a real downloadable spreadsheet/Google Sheets template as a linked asset (matches strong template/free/excel/pdf search intent better than prose alone).

Full research history from the superseded planned-article row (id 4539, url tracking-stats-for-a-grassroots-football-team): Same crowded-field caveat as the matchday-availability piece: Grassroots Stats app, Statzo, SENTR and the FA's own Full-Time system all rank for these terms. All keyword volume null/unmeasurable. Ties to the Coach App's stats tab + live-match event logging, but needs honest-comparison framing rather than promo. Researched 2026-08-22. Re-checked 2026-09-06 with the exact parent-phrasing Graham asked about (""how to record goals and assists"", ""how to track my sons goals"", and 9 other close variants) via the canonical google_ads_search_volume endpoint: all null, confirming this isn't a phrasing-testing gap like the equal-game-time cluster was - there's genuinely no measurable search demand for this as an action-phrase in any wording tried. Broadened to app-category terms instead: ""football team management app"" (50/mo) and ""grassroots football app"" (40/mo) are real and LOW competition, live SERP confirmed genuinely relevant (FA Matchday, TeamStats, Teamer, Spond, SportEasy - not fantasy/streaming noise), but combined volume is small (~90/mo) against established, well-known incumbent apps with real app-store presence - a much tougher field than the equal-game-time cluster's thin competitor. Conclusion holds: Low priority as a dedicated SEO play. If pursued at all, better as a positioning mention inside other Coach App content than a standalone article built to rank on volume that isn't there. Competitor ranked-keyword pull (2026-09-06, Spond/Mingle/FA grassrootstechnology.thefa.com) surfaced a genuinely new, real term: mingle.sport ranks position 6 for ""soccer team spreadsheet"" (etv 21). Canonical google_ads_search_volume confirms real volume: ""soccer team spreadsheet"" 320/mo, ""football team spreadsheet"" 320/mo, ""team stats"" 170/mo, ""apps for football stats"" 140/mo - all LOW competition. This meaningfully upgrades this opportunity versus the null-volume ""how to track stats"" phrasing tested previously: a ""spreadsheet"" framing (DIY-first, here's a template, then here's why the Coach App replaces it) is the real angle, not ""how to track stats"". Spond and the FA's grassrootstechnology.thefa.com domains were not useful competitive intelligence here: Spond's traffic is almost entirely unrelated top-of-funnel sports-trivia content marketing (highest-paid players, most popular sports), and grassrootstechnology.thefa.com is the FA's official Whole Game System/Club Portal/DBS registration infrastructure, not a team-management-app competitor in the same category. Priority raised Low -> Medium on the strength of the spreadsheet-angle volume. Primary keyword candidate for a rewrite: ""football team spreadsheet"" or ""soccer team spreadsheet"" rather than ""how to track stats for grassroots football team""."
https://www.footballparent.co.uk/coaching/grassroots-matchday-availability-without-whatsapp-chaos,Grassroots Matchday Admin: Getting Parent Availability Without the WhatsApp Chaos,coaching,football team availability app,how to organise matchday football team; whatsapp football team availability,Coach App: matchday admin,planned,0,,,,,,Low,"PAA surfaces named competitors directly (Is Teamer available on mobile? Is Spond really free? Is Lineup11 free?) - this is a crowded, established field (Spond, Teamer, TeamStats, Teamsheet, SportEasy all rank). Real differentiation exists (Coach App's Phase E tokenised link needs no parent accounts/installs, vs Spond/Teamer requiring every parent to install an app) but only works as an honest comparison piece, not app-promo framing - watch CLAUDE.md's editorial rules on ad-like language. All keyword volume null/unmeasurable. Lower priority than the rotation/tournament pieces until we have appetite for a comparison-style article. Researched 2026-08-22."
https://www.footballparent.co.uk/coaching/how-to-organise-a-one-day-football-tournament,How to Organise a One-Day Grassroots Football Tournament: A Coach's Checklist,coaching,how to organise a football tournament,grassroots football tournament checklist,Coach App: tournament mode,planned,10,,,,,,Medium,"PAA: 'How to create a football tournament?', 'How to prepare for a football tournament?'. Existing content is generic (FA's guide, event-planning sites like weezevent/flmsystem) - nothing written for a grassroots coach running one day of group games into knockouts. Maps directly to the Coach App's tournament mode (hub -> group games -> knockout, format/formation pre-filled from a tournament parent). Researched 2026-08-22."
https://www.footballparent.co.uk/coaching/should-you-coach-your-own-child,Should You Coach Your Own Child?,coaching,coaching your own child football,should i coach my child's football team; being a parent coach; coaching your own kid; treating your child fairly as a coach,Parent-coach: coaching your own kid,planned,0,,,,,,,Full research brief: seo-data/exports/content-plan-fulham-spurs-drills-coaching.md. Google Ads volume null on every exact phrasing (consistent with prior research on this topic). Two strong real PAA hits with citable sources: 'Should parents coach their own children?' (appliedsportpsych.org) and 'What qualifications do you need to coach children football?' (FA Playmaker/Intro to Coaching).
https://www.footballparent.co.uk/coaching/tracking-stats-for-a-grassroots-football-team,How to Track Stats for a Grassroots Football Team (Without a Spreadsheet),coaching,how to track stats for grassroots football team,grassroots football stats; what stats to track youth football,Coach App: stats tracking,superseded,0,,,,,,Medium,"Same crowded-field caveat as the matchday-availability piece: Grassroots Stats app, Statzo, SENTR and the FA's own Full-Time system all rank for these terms. All keyword volume null/unmeasurable. Ties to the Coach App's stats tab + live-match event logging, but needs honest-comparison framing rather than promo. Researched 2026-08-22. Re-checked 2026-09-06 with the exact parent-phrasing Graham asked about (""how to record goals and assists"", ""how to track my sons goals"", and 9 other close variants) via the canonical google_ads_search_volume endpoint: all null, confirming this isn't a phrasing-testing gap like the equal-game-time cluster was - there's genuinely no measurable search demand for this as an action-phrase in any wording tried. Broadened to app-category terms instead: ""football team management app"" (50/mo) and ""grassroots football app"" (40/mo) are real and LOW competition, live SERP confirmed genuinely relevant (FA Matchday, TeamStats, Teamer, Spond, SportEasy - not fantasy/streaming noise), but combined volume is small (~90/mo) against established, well-known incumbent apps with real app-store presence - a much tougher field than the equal-game-time cluster's thin competitor. Conclusion holds: Low priority as a dedicated SEO play. If pursued at all, better as a positioning mention inside other Coach App content than a standalone article built to rank on volume that isn't there. Competitor ranked-keyword pull (2026-09-06, Spond/Mingle/FA grassrootstechnology.thefa.com) surfaced a genuinely new, real term: mingle.sport ranks position 6 for ""soccer team spreadsheet"" (etv 21). Canonical google_ads_search_volume confirms real volume: ""soccer team spreadsheet"" 320/mo, ""football team spreadsheet"" 320/mo, ""team stats"" 170/mo, ""apps for football stats"" 140/mo - all LOW competition. This meaningfully upgrades this opportunity versus the null-volume ""how to track stats"" phrasing tested previously: a ""spreadsheet"" framing (DIY-first, here's a template, then here's why the Coach App replaces it) is the real angle, not ""how to track stats"". Spond and the FA's grassrootstechnology.thefa.com domains were not useful competitive intelligence here: Spond's traffic is almost entirely unrelated top-of-funnel sports-trivia content marketing (highest-paid players, most popular sports), and grassrootstechnology.thefa.com is the FA's official Whole Game System/Club Portal/DBS registration infrastructure, not a team-management-app competitor in the same category. Priority raised Low -> Medium on the strength of the spreadsheet-angle volume. Primary keyword candidate for a rewrite: ""football team spreadsheet"" or ""soccer team spreadsheet"" rather than ""how to track stats for grassroots football team"". SUPERSEDED 2026-09-06: published as pages.id 5211, url /coaching/football-team-spreadsheet, kept for FK/history reasons rather than deleted."
