Opportunity Score,Fit Grade,Domain,Article title,URL,Country,Primary topic,Search phrase that found it,Why the app fits this specific article,"Domain authority/rank metric (DataForSEO bulk_ranks, screening signal only)",URL/page authority metric,Spam score,HTTP status,Outreach type,Notes
80,A,www.coachesontario.ca,"Coaching-association discussion of equal playing time across multiple youth sports, referencing rotation tools coaches use",https://www.coachesontario.ca/articles/equal-playing-time/,Canada,Squad/player rotation,equal playing time,"An independent provincial coaching association discussing practical rotation schedules and playing-time tools that coaches already reach for, making it a genuine venue to reference a football-specific tracking app.",350,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,"Article mentions a different competing tool (SubTime) in passing, but the site itself is an independent coaching body, not the competitor. | Org: Coaches Association of Ontario | Domain type: coaching organisation"
80,A,playerdevelopmentproject.com,"Q&A on distributing equal playing time in youth soccer, including a 50% minimum and equal starts",https://playerdevelopmentproject.com/qa-should-i-give-my-players-equal-playing-time/,UK,Equal/fair playing time policy,equal playing time youth soccer,"Sets out concrete fairness targets (50% minimum, equal starts) coaches are expected to hit, which a tracking app would help them monitor and evidence across a season.",274,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Player Development Project | Domain type: coaching organisation
80,A,www.socceramerica.com,"Advocating scheduled, less frequent substitutions in youth soccer to protect uninterrupted development time",https://www.socceramerica.com/stop-interrupting-substitute-sensibly/,US,Substitution management,us youth soccer playing time rules,"Argues coaches should plan substitutions deliberately rather than reactively, a scheduling and tracking problem the app directly solves.",328,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Soccer America | Domain type: football publication
79,A,mcp-cdn-fja5bvhth4eqercf.z01.azurefd.net,Equal playing time club policy (Langtoft United FC) covering rationale and age-group implementation,https://mcp-cdn-fja5bvhth4eqercf.z01.azurefd.net/images/FileUploads/1586/167921/Equal%20Playing%20Time%20Policy.pdf,UK,Equal/fair playing time policy,equal playing time,The club's policy is built entirely around ensuring equal minutes across age groups and explicitly cites coach-parent friction over playing time as a driver; a tracking app would let the club actually verify and evidence the policy it has written down.,107,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,"CDN file host, not the club (Langtoft United FC)'s own domain - outreach must go to the club directly, not this hostname. | Org: Langtoft United FC | Domain type: grassroots club"
79,A,lusa.ca,"Minimum playing time percentages tracked and averaged over a season, with justification required for deviations",https://lusa.ca/pages/lusa-playing-time-policy,Canada,Equal/fair playing time policy,fair playing time policy soccer,"The policy requires coaches to track and be able to justify any deviation from set minimum playing-time percentages, which is precisely the record-keeping a tracking app automates.",167,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Langley United Soccer Association | Domain type: grassroots club
78,A,www.maldenyouthsoccer.org,Minimum playing time policy by age group for youth soccer,https://www.maldenyouthsoccer.org/playing-time-policy,US,Equal/fair playing time policy,playing time policy,"The policy sets mandatory playing-time percentages coaches must track and be able to evidence to the board, which a tracking app would directly support.",130,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Malden Youth Soccer | Domain type: grassroots club
78,A,falmouthcommunityfootball.uk,Republished Cornwall FA guidance on equal playing time for a specific grassroots club,https://falmouthcommunityfootball.uk/cornwall-fa-guidance-equal-playing-time-in-youth-football,UK,Equal/fair playing time policy,fair playing time,"The club has adopted County FA equal-playing-time guidance as its own policy, and a tracking app is the practical tool coaches need to deliver on it.",56,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Falmouth Community Football | Domain type: grassroots club
78,A,www.y-coach.com,Managing playing time fairly and rotating players systematically in youth sports,https://www.y-coach.com/Playingtime.html,US,Equal/fair playing time policy,playing time policy,"Advises coaches to plan substitutions in advance and stick to the plan to keep playing time fair, which an app would help execute and record match by match.",274,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Y-Coach | Domain type: coaching organisation
78,A,www.falmouthcommunityfootball.uk,Club's own equal playing time guidance for U6-U16 by age band,https://www.falmouthcommunityfootball.uk/falmouth-community-youth-football-club-equal-playing-time-guidance/,UK,Equal/fair playing time policy,playing time policy football,"States coaches and managers will aim to achieve equal playing time per game (U6-U11) and per season (U12-U16), the exact commitment a tracking app helps coaches keep and prove.",56,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Falmouth Community Youth Football Club | Domain type: grassroots club
78,A,nanaimounitedfc.com,"Equal playing time guidelines by development stage, aligned to Canada Soccer's Long Term Player Development model",https://nanaimounitedfc.com/pub/c/a28dd7651f56487f67385aa2d8510484/docs/Equal_Playing_Time_Guidelines.pdf,Canada,Equal/fair playing time policy,equal playing time,"The club commits to equal game time at every youth stage and ties reduced minutes to specific, trackable factors like attendance and effort, which a tracking app would help coaches record and apply consistently.",109,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Nanaimo United Football Club | Domain type: grassroots club
78,A,www.soccerparenting.com,Argument against benching players for entire games (zero playing time) in youth soccer,https://www.soccerparenting.com/blog/playing-time-in-youth-sports-zero-minutes/,US,Equal/fair playing time policy,equal playing time youth soccer,"Directly campaigns against players getting zero minutes, the exact fairness failure a tracking app helps coaches catch and avoid before it becomes a pattern.",255,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Soccer Parenting Association | Domain type: parenting publication
77,A,norwoodsoccer.com,Mandatory equal playing time policy for youth soccer,https://norwoodsoccer.com/playing-time-policy,US,Equal/fair playing time policy,playing time policy,"The club's policy requires no player be on the field less than half of each game and to track position rotations, which a minutes-tracking app would make far easier to implement and document.",90,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Norwood Youth Soccer Inc | Domain type: grassroots club
77,A,kendalunited.com,Minimum game time policy with specific minute requirements per age group,https://kendalunited.com/minimum-game-time-policy/,UK,Equal/fair playing time policy,playing time policy,"The club sets explicit per-age-group minute minimums coaches must hit, which an app would let them monitor and prove compliance with in real time.",0,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Kendal United FC | Domain type: grassroots club
77,A,www.readstonejfc.club,Team selection and game time policy with 50% minimum and squad rotation guidance for large squads,https://www.readstonejfc.club/wp-content/uploads/2023/09/RUJFC-ClubDoc03-Selection-Game-Time-Policy.pdf,UK,Squad/player rotation,team selection policy youth football,"The policy explicitly instructs managers to rotate players fairly and hit a 50% minimum, and notes managers of large squads must rotate players, exactly the coordination problem a tracking app solves.",6,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Readstone United Junior FC | Domain type: grassroots club
76,A,playerdevelopmentproject.com,"Should coaches give youth players equal game time, and how to manage it",https://playerdevelopmentproject.com/025-should-we-give-players-equal-game-time/,other/unclear,Equal/fair playing time policy,equal playing time,"The article explicitly recommends pre-planning starting teams/substitutes and tracking minutes to ensure equal playing time, which is exactly what the app automates.",274,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Player Development Project | Domain type: coaching organisation
76,A,www.thecoachdiary.com,Why equal game time matters for youth player development,https://www.thecoachdiary.com/equal-game-time-is-important-in-the-development-of-young-players-pa-curran/,Ireland,Equal/fair playing time policy,equal playing time,"Argues coaches should track who is getting minutes and avoid always leaving star players on, which a tracking app would systematise.",162,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: The Coach Diary | Domain type: coaching organisation
76,A,www.realsocal.org,Playing time equity rules and complaints about coaches favouring their own children with more minutes,https://www.realsocal.org/recreational/wvsl-modified-playing-rules-1/playing-time,US,Equal/fair playing time policy,equal playing time youth soccer,"The league mandates over 50% playing time per player and explicitly calls out coach favouritism toward their own children, exactly the transparency problem a minutes-tracking app solves.",174,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: LAFC So Cal Youth (WVSL) | Domain type: grassroots club
75,A,www.launtonfc.co.uk,Equal/fair playing time club policy,https://www.launtonfc.co.uk/equal-fair-playing-time,UK,Equal/fair playing time policy,equal playing time,"The club's own policy requires coaches to keep track of individual playing time to ensure fairness, which a tracking app would directly automate.",24,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Launton Youth FC | Domain type: grassroots club
75,A,www.hamersleyroversjuniorfc.com.au,MiniRoos and junior playing time policy by age band,https://www.hamersleyroversjuniorfc.com.au/wp-content/uploads/2021/07/Playing-Time-Policy-April2017rev3.pdf,Australia,Equal/fair playing time policy,club playing time policy template,"The club's soccer (MiniRoos/Football Australia) policy mandates equal or near-equal playing time by age group with explicit minimums, which a tracking app would help coaches evidence and manage.",14,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Hamersley Rovers Junior FC | Domain type: grassroots club
75,A,www.soccerdrive.com,Managing equal playing time in recreational youth soccer and the difficulty leagues have enforcing it,https://www.soccerdrive.com/blog/1/managing-playing-time-recreational-youth-soccer,US,Equal/fair playing time policy,equal playing time youth soccer,"The article states enforcement of playing-time fairness relies on eye-witness accounts because there is no real tracking mechanism, which is precisely the gap the app fills.",231,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: SoccerDrive | Domain type: commercial blog
75,A,www.soccerdrive.com,Coaching curriculum lesson on deciding playing time in recreational versus competitive youth soccer,https://www.soccerdrive.com/learn-how-to-coach-soccer/how-do-you-decide-playing-time,US,Equal/fair playing time policy,fair playing time policy soccer,"Walks coaches through applying league-mandated 50%-minimum playing-time policies and handling related fairness questions, exactly the compliance job a tracking app supports.",231,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: SoccerDrive | Domain type: commercial blog
75,A,www.dutchfc.com,"How club coaches determine playing time in youth club soccer, based on attendance, attitude and ability",https://www.dutchfc.com/playing-time-in-club-soccer,US,Equal/fair playing time policy,club playing time policy template,"Explains the coach's decision-making process for allocating minutes across a squad, the exact process a tracking app makes transparent and auditable for parents.",114,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Dutch Football Club | Domain type: grassroots club
74,A,www.phoenixyouthfc.com,A grassroots coach reflecting on the difficulty of managing equal play fairly across a squad,https://www.phoenixyouthfc.com/the-rhubarb--custard---updates/i-recently-saw-a-post-from-grassroots-football-uk-about-equal-play-and-it-still-remains-the-most-contentious-part-of-the-grassroots-game-and-probably-the-hardest-for-coaches-to-keep-everyone-happy-though-i-promise-you-they-doi-wrote-this-piece-last-y,UK,Equal/fair playing time policy,grassroots football playing time policy,"The coach explicitly describes spending hours building substitution spreadsheets by hand to keep playing time fair, precisely the manual effort an app would remove.",0,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Phoenix Youth FC | Domain type: grassroots club
74,A,www.switchingthefield.com,"Why playing time matters for youth soccer development, with practical substitution management strategies",https://www.switchingthefield.com/single-post/playing-time,US,Substitution management,equal playing time youth soccer,"Defines significant playing-time targets by age group and gives practical rotation strategies, exactly the coordination job a tracking app takes over.",77,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Switching the Field | Domain type: coaching organisation
72,A,www.squadd.co.uk,FA guidance on equal playing time in English youth football and the 50% minimum recommendation,https://www.squadd.co.uk/blog/fa-equal-playing-time-youth-football-england,UK,Equal/fair playing time policy,playing time policy football,"The article walks coaches through tracking every player to the FA 50%-minutes benchmark, exactly the manual job a tracking app replaces.",0,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,Lower-priority prospect,Verify Squadd is not itself a competing team-management product before outreach. | Org: Squadd | Domain type: commercial blog
72,A,theteamadultplaybook.com,"Argument for mandatory equal playing time until age 14 in youth sports (general, not football-specific)",https://theteamadultplaybook.com/2013/04/17/athletes-need-equal-playing-time-until-age-14/,US,Equal/fair playing time policy,youth sports playing time debate,"Makes the case for coaches to guarantee equal minutes and discusses the mechanics of rotation decisions, directly the process a tracking app supports, though the article is general youth sports rather than football-specific.",216,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: For the Team | Domain type: commercial blog
72,A,nmlavoi.com,Coach describing building a manual spreadsheet to track and calculate each player's playing-time percentage (general youth sports),https://nmlavoi.com/2010/07/27/a-question-about-equal-playing-time-in-youth-sports/,US,Tracking playing time,equal playing time youth soccer,"A commenter explicitly describes creating a spreadsheet with formulas to calculate playing-time percentage and target minute minimums per player, precisely the manual process a tracking app replaces.",48,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Nicole M. LaVoi / University of Minnesota | Domain type: university
70,A,mikequirke.podbean.com,Podcast episode debating whether youth athletes should get equal minutes (general youth sports),https://mikequirke.podbean.com/e/equal-playing-time-should-every-kid-get-minutes-in-youth-sports/,other/unclear,Equal/fair playing time policy,equal playing time youth soccer,"Directly debates practical strategies for ensuring fair game time across a squad, the exact problem a tracking app addresses, though not football-specific.",113,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: The Mike Quirke Podcast | Domain type: commercial blog
67,A,firstwhistlesports.net,Managing equal playing time and substitutions in youth sports via manual minute tracking (general youth sports),https://firstwhistlesports.net/equal-playing-time-youth-sports/,US,Substitution management,youth sports playing time debate,"Directly recommends tracking each player's minutes across a season and planning rotations on a written sheet to manage parent complaints, exactly what a tracking app automates.",0,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: First Whistle Sports | Domain type: commercial blog
61,B,www.bedfordshirefa.com,County FA guidance on maximum playing time per age group to protect player welfare,https://www.bedfordshirefa.com/news/2023/sep/27/youth-football-maximum-playing-time,UK,Playing-time welfare limits,playing time policy football,"Sets welfare-driven maximum minutes by age group that clubs are expected to respect, which a tracking app would help coaches monitor alongside fairness minimums.",226,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Bedfordshire FA | Domain type: governing body
60,B,potomacsoccer.org,Club playing time policy explaining that minutes are not guaranteed and listing the factors coaches weigh,https://potomacsoccer.org/policies/playing-time-policy/,US,Equal/fair playing time policy,playing time policy youth soccer,"Sets out the fairness factors coaches must weigh when allocating minutes, directly the kind of coach decision-making a tracking app could make more transparent, though it stops short of recommending a tracking method itself.",207,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Potomac Soccer Association | Domain type: grassroots club
59,B,projectplay.org,General youth sports argument for equal playing time under age 12 (not football-specific),https://projectplay.org/news/2018/1/11/why-project-play-recommends-equal-playing-time-for-kids,US,Equal/fair playing time policy,equal playing time,"Makes the case for equal playing time and describes rotating substitutions every five minutes to achieve it, directly the kind of manual process a tracking app would simplify, though the article is generic youth sports rather than football-specific.",328,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Aspen Institute Project Play | Domain type: charity
58,B,www.thesoccerstore.co.uk,Commentary on new FA youth football rule changes requiring 50% playing time and positional rotation,https://www.thesoccerstore.co.uk/blog/latest-news/are-the-fas-new-youth-football-guidelines-a-step-too-far/,UK,Squad/player rotation,grassroots football playing time policy,"Discusses new FA rules mandating at least 50% playing time and rotating players through positions, directly the compliance job a tracking app helps coaches with, though the piece does not recommend a specific tracking method.",240,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: The Soccer Store | Domain type: commercial blog
55,B,www.parentsinsport.co.uk,"Framework for the playing-time conversation between coaches, players and parents in youth sports (general, not football-specific)",https://www.parentsinsport.co.uk/2019/02/04/the-dreaded-playing-time-conversation/,UK,Parent conflict over playing time,parents unhappy about playing time,"Identifies the playing-time conversation as the most common source of conflict in youth sports and offers a framework for it, context a tracking app strengthens by giving both sides real data, though not football-specific.",246,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Working with Parents in Sport | Domain type: parenting publication
54,C,www.thefa.com,County FA table of maximum permitted playing time per day by age group for tournaments,https://www.thefa.com/-/media/cfa/kentfa/files/tournaments-201920/rules-and-guidance/tournament-rule-information.ashx,UK,Playing-time welfare limits,playing time policy football,"Sets welfare-driven maximum minutes per age group for tournaments, a different problem (overuse prevention) to the app's equal-minutes tracking focus, so only secondarily relevant.",661,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Kent FA | Domain type: governing body
53,B,www.trustedcoaches.org,General guidance on balancing playing time as a youth coach (not football-specific),https://www.trustedcoaches.org/how-to-balance-playing-time-as-a-youth-coach/,US,Equal/fair playing time policy,,"Comprehensively covers fair rotation and lineup planning strategies relevant to any youth sport coach, though without recommending a specific tracking tool.",162,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Trusted Coaches | Domain type: coaching organisation
53,B,burkeathleticclub.org,"Managing playing-time equity and parent complaints in youth sports (general, not football-specific)",https://burkeathleticclub.org/coaches-corner/coaching-articles/dealing-with-playing-time-in-youth-sports,US,Parent conflict over playing time,fair playing time policy soccer,"Covers platoon-style substitution methods and handling parent complaints about game time, the exact scenarios a tracking app gives coaches hard data to respond to, though not football-specific.",153,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Burke Athletic Club | Domain type: coaching organisation
52,B,nmlavoi.com,"Academic commentary on equal playing time in youth sports up to age 12 (general, not football-specific)",https://nmlavoi.com/2010/08/10/more-thoughts-on-equal-playing-time-in-youth-sports/,US,Equal/fair playing time policy,youth sports playing time debate,"Substantially about the fairness case for equal playing time and how it affects development, though it does not recommend a specific tracking method.",48,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Nicole M. LaVoi / University of Minnesota | Domain type: university
52,B,www.excelcampus.com,"Excel-formula tutorial using an equal playing-time scheduling problem as its example (youth basketball, not football-specific)",https://www.excelcampus.com/tips/equal-playing-time-challenge/,US,Equal/fair playing time policy,football playing time spreadsheet,"The underlying problem, fairly distributing game minutes across players and periods, is the app's core use case, though the tutorial itself is a generic Excel exercise rather than football coaching content.",310,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Excel Campus | Domain type: commercial blog
51,B,leaguenetwork.com,Coaching philosophy argument for equal playing time under age 14 (general youth sports),https://leaguenetwork.com/equal-playing-time/,US,Equal/fair playing time policy,youth sports playing time debate,"Argues for equal playing time as a development principle, relevant context for pitching a tracking tool, though League Network is itself a league-management platform so may be a lower-priority, more commercial outreach target.",157,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,Lower-priority prospect,League Network appears to be a sports league management platform - verify it is not a direct competitor before outreach. | Org: League Network | Domain type: commercial blog
